UF,psicologo,psicoterapeuta,psiquiatra,caps_total,notificacoes_2020_2024,total_privados,proporcao_psiquiatras,notificacoes_por_100_caps,notificacoes_por_100_privados,preco_psicologo,preco_psiquiatra,psiq_psico_ratio
BA,208,0,134,266,1277,342,0.392,480.075,373.392,190.0,500.0,2.632
MG,251,1,254,381,2493,506,0.502,654.331,492.688,180.0,500.0,2.778
MT,1,1,0,43,21,2,0.0,48.837,1050.0,200.0,,
RJ,219,2,238,171,335,459,0.519,195.906,72.985,200.0,500.0,2.5
RS,249,0,212,203,1045,461,0.46,514.778,226.681,190.0,400.0,2.105
SP,335,28,306,469,2443,669,0.457,520.896,365.172,200.0,550.0,2.75
